Source_URL,LinkedIn_URL
https://www.msj.edu/,https://www.linkedin.com/school/mount-st-joseph-university/
https://www.msmary.edu/,Not Found
https://www.msmc.edu/,https://www.linkedin.com/school/mount-saint-mary-college
https://www.msmc.la.edu/,Connection Error
https://www.mtaloy.edu/,Not Found
https://www.mtmary.edu/,https://www.linkedin.com/school/mount-mary-university
https://www.mtmc.edu/,Connection Error
https://www.mtmercy.edu/,https://www.linkedin.com/company/mount-mercy-university
https://www.mu.edu/,http://www.linkedin.com/company/7160?goback=.fcs_GLHD_marquette_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&trk=ncsrch_hits
https://www.nd.edu/,https://www.linkedin.com/school/university-of-notre-dame/
https://www.ndm.edu/,https://www.linkedin.com/school/notre-dame-of-maryland-university/
https://www.ndnu.edu/,https://www.linkedin.com/school/notre-dame-de-namur-university/
https://www.nds.edu/,Not Found
https://www.neumann.edu/,Not Found
https://www.newmanu.edu/,Not Found
https://www.niagara.edu/,https://www.linkedin.com/school/niagara-university/
https://www.notredamecollege.edu/,Connection Error
https://www.ohiodominican.edu/,https://www.linkedin.com/school/ohio-dominican-university/
https://www.olhcc.edu/,Connection Error
https://www.ollusa.edu/,Not Found
https://www.ololcollege.edu/,Connection Error
https://www.ost.edu/,https://www.linkedin.com/school/oblate-school-of-theology/
https://www.providence.edu/,https://www.linkedin.com/school/providence-college
https://www.quincy.edu/,https://www.linkedin.com/school/quincy-university/
https://www.regis.edu/,https://www.linkedin.com/school/regis-university/
https://www.regiscollege.edu/,https://www.linkedin.com/school/regis-college/
https://www.rivier.edu/,https://www.linkedin.com/school/rivieruniversity/
https://www.rockhurst.edu/,Not Found
https://www.rosemont.edu/,https://www.linkedin.com/school/rosemont-college/
https://www.sacn.edu/,Not Found
https://www.sacredheart.edu/,https://www.linkedin.com/school/sacred-heart-university/
https://www.saintjoe.edu/,https://www.linkedin.com/school/saintjoe/
https://www.saintleo.edu/,https://www.linkedin.com/school/saint-leo-university/
https://www.saintmarys.edu/,Not Found
https://www.saintmeinrad.edu/,Not Found
https://www.saintvincentseminary.edu/,Not Found
https://www.salve.edu/,Not Found
https://www.sandiego.edu/,Not Found
https://www.sau.edu/,Connection Error
https://www.sbu.edu/,https://www.linkedin.com/school/st-bonaventure-university/
https://www.sccky.edu/,Connection Error
https://www.scs.edu/,Not Found
https://www.scu.edu/,Not Found
https://www.scu.edu/jst/,Not Found
https://www.seattleu.edu/,https://www.linkedin.com/school/seattle-university/
https://www.secon.edu/,Not Found
https://www.setonhill.edu/,https://www.linkedin.com/school/seton-hill-university/
https://www.sf.edu/,Not Found
https://www.sfcpa.edu/,Connection Error
https://www.sfmccon.edu/,Not Found
https://www.shc.edu/,Not Found
https://www.shst.edu/index.aspx/,Connection Error
https://www.shu.edu/,Not Found
https://www.siena.edu/,https://www.linkedin.com/school/sienauniversity
https://www.sienaheights.edu/,Not Found
https://www.sjcme.edu/,Not Found
https://www.sjcny.edu/,Not Found
https://www.sjs.edu/,https://www.linkedin.com/school/sjsboston/
https://www.sju.edu/,https://www.linkedin.com/school/saint-joseph%27s-university
https://www.sl.edu/,Connection Error
https://www.slu.edu/,https://www.linkedin.com/company/saint-louis-university
https://www.smcvt.edu/,Not Found
https://www.smumn.edu/,https://www.linkedin.com/school/saint-mary's-university-of-minnesota/
https://www.smwc.edu/,https://www.linkedin.com/school/saint-mary-of-the-woods-college/
https://www.snc.edu/,Not Found
https://www.spalding.edu/,Not Found
https://www.spc.edu/pages/1.asp/,Not Found
https://www.sscms.edu/,Not Found
https://www.stac.edu/,https://www.linkedin.com/school/st.-thomas-aquinas-college/
https://www.stbernards.edu/,Not Found
https://www.stedwards.edu/,https://www.linkedin.com/school/st-edwards-university/
https://www.steson.org/Index.aspx?tabindex=0&tabid=1/,Not Found
https://www.stfranciscollege.edu/,Connection Error
https://www.stgregorys.edu/,Connection Error
https://www.stjohns.edu/,https://www.linkedin.com/school/st.-john's-university/
https://www.stjohnsem.edu/,Not Found
https://www.stmartin.edu/,Not Found
https://www.stmary.edu/,Not Found
https://www.stmarys.edu/,https://www.linkedin.com/school/ecumenicalinst/
https://www.stmarysem.edu/,Not Found
https://www.stmarytx.edu-ca.edu/,Connection Error
https://www.stonehill.edu/,https://www.linkedin.com/school/stonehill-college/
https://www.strose.edu/,Connection Error
https://www.stthom.edu/,Connection Error
https://www.stthomas.edu/,https://www.linkedin.com/school/universityofstthomas/
https://www.stu.edu/,https://www.linkedin.com/school/stumiami/
https://www.stvincent.edu/,https://www.linkedin.com/school/saintvincentcollege/
https://www.stvincentscollege.edu/,Connection Error
https://www.sxu.edu/,Not Found
https://www.thomasaquinas.edu/,Not Found
https://www.thomasmore.edu/,https://www.linkedin.com/school/thomasmoreky/
https://www.thomasmorecollege.edu/,Not Found
https://www.trinitydc.edu/,https://www.linkedin.com/school/trinity-washington-university/
https://www.trocaire.edu/,http://www.linkedin.com/company/trocaire-college
https://www.udallas.edu/,Not Found
https://www.udayton.edu/,https://www.linkedin.com/company/university-of-dayton
https://www.udmercy.edu/,https://www.linkedin.com/company/university-of-detroit-mercy/
https://www.ugf.edu/,Connection Error
https://www.uiw.edu/,https://www.linkedin.com/school/university-of-the-incarnate-word/
